"dgp","idx_d","d","truth_seed","row","col","A_base"
"dgp3",5,25,20272005,9,25,0
"dgp3",5,25,20272005,10,25,0.0838257734851763
"dgp3",5,25,20272005,11,25,0
"dgp3",5,25,20272005,12,25,0
"dgp3",5,25,20272005,13,25,0.0838257734851763
"dgp3",5,25,20272005,14,25,0
"dgp3",5,25,20272005,15,25,0.0838257734851763
"dgp3",5,25,20272005,16,25,0.0838257734851763
"dgp3",5,25,20272005,17,25,0.0838257734851763
"dgp3",5,25,20272005,18,25,0.0838257734851763
"dgp3",5,25,20272005,19,25,0.0838257734851763
"dgp3",5,25,20272005,20,25,0.0838257734851763
"dgp3",5,25,20272005,21,25,0
"dgp3",5,25,20272005,22,25,0
"dgp3",5,25,20272005,23,25,0.0838257734851763
"dgp3",5,25,20272005,24,25,0.0838257734851763
"dgp3",5,25,20272005,25,25,0.0838257734851763
"dgp3",6,30,20272006,1,1,0.0669069577399385
"dgp3",6,30,20272006,2,1,0
"dgp3",6,30,20272006,3,1,0.0669069577399385
"dgp3",6,30,20272006,4,1,0.0669069577399385
"dgp3",6,30,20272006,5,1,0.0669069577399385
"dgp3",6,30,20272006,6,1,0.0669069577399385
"dgp3",6,30,20272006,7,1,0.0669069577399385
"dgp3",6,30,20272006,8,1,0.0669069577399385
"dgp3",6,30,20272006,9,1,0
"dgp3",6,30,20272006,10,1,0.0669069577399385
"dgp3",6,30,20272006,11,1,0
"dgp3",6,30,20272006,12,1,0.0669069577399385
"dgp3",6,30,20272006,13,1,0
"dgp3",6,30,20272006,14,1,0
"dgp3",6,30,20272006,15,1,0.0669069577399385
"dgp3",6,30,20272006,16,1,0
"dgp3",6,30,20272006,17,1,0
"dgp3",6,30,20272006,18,1,0
"dgp3",6,30,20272006,19,1,0
"dgp3",6,30,20272006,20,1,0
"dgp3",6,30,20272006,21,1,0
"dgp3",6,30,20272006,22,1,0
"dgp3",6,30,20272006,23,1,0
"dgp3",6,30,20272006,24,1,0.0669069577399385
"dgp3",6,30,20272006,25,1,0
"dgp3",6,30,20272006,26,1,0
"dgp3",6,30,20272006,27,1,0
"dgp3",6,30,20272006,28,1,0
"dgp3",6,30,20272006,29,1,0
"dgp3",6,30,20272006,30,1,0
"dgp3",6,30,20272006,1,2,0
"dgp3",6,30,20272006,2,2,0.0669069577399385
"dgp3",6,30,20272006,3,2,0
"dgp3",6,30,20272006,4,2,0
"dgp3",6,30,20272006,5,2,0
"dgp3",6,30,20272006,6,2,0.0669069577399385
"dgp3",6,30,20272006,7,2,0.0669069577399385
"dgp3",6,30,20272006,8,2,0
"dgp3",6,30,20272006,9,2,0.0669069577399385
"dgp3",6,30,20272006,10,2,0.0669069577399385
"dgp3",6,30,20272006,11,2,0.0669069577399385
"dgp3",6,30,20272006,12,2,0.0669069577399385
"dgp3",6,30,20272006,13,2,0.0669069577399385
"dgp3",6,30,20272006,14,2,0.0669069577399385
"dgp3",6,30,20272006,15,2,0
"dgp3",6,30,20272006,16,2,0
"dgp3",6,30,20272006,17,2,0
"dgp3",6,30,20272006,18,2,0.0669069577399385
"dgp3",6,30,20272006,19,2,0
"dgp3",6,30,20272006,20,2,0
"dgp3",6,30,20272006,21,2,0
"dgp3",6,30,20272006,22,2,0.0669069577399385
"dgp3",6,30,20272006,23,2,0
"dgp3",6,30,20272006,24,2,0
"dgp3",6,30,20272006,25,2,0.0669069577399385
"dgp3",6,30,20272006,26,2,0
"dgp3",6,30,20272006,27,2,0
"dgp3",6,30,20272006,28,2,0
"dgp3",6,30,20272006,29,2,0
"dgp3",6,30,20272006,30,2,0
"dgp3",6,30,20272006,1,3,0.0669069577399385
"dgp3",6,30,20272006,2,3,0.0669069577399385
"dgp3",6,30,20272006,3,3,0.0669069577399385
"dgp3",6,30,20272006,4,3,0.0669069577399385
"dgp3",6,30,20272006,5,3,0.0669069577399385
"dgp3",6,30,20272006,6,3,0
"dgp3",6,30,20272006,7,3,0
"dgp3",6,30,20272006,8,3,0.0669069577399385
"dgp3",6,30,20272006,9,3,0
"dgp3",6,30,20272006,10,3,0.0669069577399385
"dgp3",6,30,20272006,11,3,0
"dgp3",6,30,20272006,12,3,0
"dgp3",6,30,20272006,13,3,0.0669069577399385
"dgp3",6,30,20272006,14,3,0.0669069577399385
"dgp3",6,30,20272006,15,3,0.0669069577399385
"dgp3",6,30,20272006,16,3,0
"dgp3",6,30,20272006,17,3,0
"dgp3",6,30,20272006,18,3,0
"dgp3",6,30,20272006,19,3,0
"dgp3",6,30,20272006,20,3,0
"dgp3",6,30,20272006,21,3,0
"dgp3",6,30,20272006,22,3,0
"dgp3",6,30,20272006,23,3,0
"dgp3",6,30,20272006,24,3,0
"dgp3",6,30,20272006,25,3,0
"dgp3",6,30,20272006,26,3,0.0669069577399385
"dgp3",6,30,20272006,27,3,0
"dgp3",6,30,20272006,28,3,0
"dgp3",6,30,20272006,29,3,0
"dgp3",6,30,20272006,30,3,0
"dgp3",6,30,20272006,1,4,0.0669069577399385
"dgp3",6,30,20272006,2,4,0.0669069577399385
"dgp3",6,30,20272006,3,4,0.0669069577399385
"dgp3",6,30,20272006,4,4,0.0669069577399385
"dgp3",6,30,20272006,5,4,0.0669069577399385
"dgp3",6,30,20272006,6,4,0
"dgp3",6,30,20272006,7,4,0.0669069577399385
"dgp3",6,30,20272006,8,4,0.0669069577399385
"dgp3",6,30,20272006,9,4,0
"dgp3",6,30,20272006,10,4,0.0669069577399385
"dgp3",6,30,20272006,11,4,0.0669069577399385
"dgp3",6,30,20272006,12,4,0.0669069577399385
"dgp3",6,30,20272006,13,4,0.0669069577399385
"dgp3",6,30,20272006,14,4,0.0669069577399385
"dgp3",6,30,20272006,15,4,0.0669069577399385
"dgp3",6,30,20272006,16,4,0
"dgp3",6,30,20272006,17,4,0
"dgp3",6,30,20272006,18,4,0
"dgp3",6,30,20272006,19,4,0
"dgp3",6,30,20272006,20,4,0
"dgp3",6,30,20272006,21,4,0
"dgp3",6,30,20272006,22,4,0
"dgp3",6,30,20272006,23,4,0.0669069577399385
"dgp3",6,30,20272006,24,4,0
"dgp3",6,30,20272006,25,4,0
"dgp3",6,30,20272006,26,4,0
"dgp3",6,30,20272006,27,4,0
"dgp3",6,30,20272006,28,4,0
"dgp3",6,30,20272006,29,4,0
"dgp3",6,30,20272006,30,4,0
"dgp3",6,30,20272006,1,5,0.0669069577399385
"dgp3",6,30,20272006,2,5,0
"dgp3",6,30,20272006,3,5,0
"dgp3",6,30,20272006,4,5,0.0669069577399385
"dgp3",6,30,20272006,5,5,0.0669069577399385
"dgp3",6,30,20272006,6,5,0
"dgp3",6,30,20272006,7,5,0.0669069577399385
"dgp3",6,30,20272006,8,5,0.0669069577399385
"dgp3",6,30,20272006,9,5,0.0669069577399385
"dgp3",6,30,20272006,10,5,0.0669069577399385
"dgp3",6,30,20272006,11,5,0.0669069577399385
"dgp3",6,30,20272006,12,5,0.0669069577399385
"dgp3",6,30,20272006,13,5,0.0669069577399385
"dgp3",6,30,20272006,14,5,0.0669069577399385
"dgp3",6,30,20272006,15,5,0
"dgp3",6,30,20272006,16,5,0
"dgp3",6,30,20272006,17,5,0.0669069577399385
"dgp3",6,30,20272006,18,5,0
"dgp3",6,30,20272006,19,5,0
"dgp3",6,30,20272006,20,5,0
"dgp3",6,30,20272006,21,5,0.0669069577399385
"dgp3",6,30,20272006,22,5,0
"dgp3",6,30,20272006,23,5,0.0669069577399385
"dgp3",6,30,20272006,24,5,0
"dgp3",6,30,20272006,25,5,0
"dgp3",6,30,20272006,26,5,0
"dgp3",6,30,20272006,27,5,0
"dgp3",6,30,20272006,28,5,0
"dgp3",6,30,20272006,29,5,0
"dgp3",6,30,20272006,30,5,0
"dgp3",6,30,20272006,1,6,0.0669069577399385
"dgp3",6,30,20272006,2,6,0.0669069577399385
"dgp3",6,30,20272006,3,6,0.0669069577399385
"dgp3",6,30,20272006,4,6,0.0669069577399385
"dgp3",6,30,20272006,5,6,0
"dgp3",6,30,20272006,6,6,0.0669069577399385
"dgp3",6,30,20272006,7,6,0
"dgp3",6,30,20272006,8,6,0.0669069577399385
"dgp3",6,30,20272006,9,6,0.0669069577399385
"dgp3",6,30,20272006,10,6,0.0669069577399385
"dgp3",6,30,20272006,11,6,0.0669069577399385
"dgp3",6,30,20272006,12,6,0.0669069577399385
"dgp3",6,30,20272006,13,6,0
"dgp3",6,30,20272006,14,6,0.0669069577399385
"dgp3",6,30,20272006,15,6,0.0669069577399385
"dgp3",6,30,20272006,16,6,0
"dgp3",6,30,20272006,17,6,0
"dgp3",6,30,20272006,18,6,0
"dgp3",6,30,20272006,19,6,0
"dgp3",6,30,20272006,20,6,0
"dgp3",6,30,20272006,21,6,0
"dgp3",6,30,20272006,22,6,0
"dgp3",6,30,20272006,23,6,0.0669069577399385
"dgp3",6,30,20272006,24,6,0
"dgp3",6,30,20272006,25,6,0.0669069577399385
"dgp3",6,30,20272006,26,6,0
"dgp3",6,30,20272006,27,6,0
"dgp3",6,30,20272006,28,6,0.0669069577399385
"dgp3",6,30,20272006,29,6,0
"dgp3",6,30,20272006,30,6,0.0669069577399385
"dgp3",6,30,20272006,1,7,0.0669069577399385
"dgp3",6,30,20272006,2,7,0.0669069577399385
"dgp3",6,30,20272006,3,7,0
"dgp3",6,30,20272006,4,7,0.0669069577399385
"dgp3",6,30,20272006,5,7,0.0669069577399385
"dgp3",6,30,20272006,6,7,0.0669069577399385
"dgp3",6,30,20272006,7,7,0.0669069577399385
"dgp3",6,30,20272006,8,7,0.0669069577399385
"dgp3",6,30,20272006,9,7,0.0669069577399385
"dgp3",6,30,20272006,10,7,0.0669069577399385
"dgp3",6,30,20272006,11,7,0.0669069577399385
"dgp3",6,30,20272006,12,7,0
"dgp3",6,30,20272006,13,7,0.0669069577399385
"dgp3",6,30,20272006,14,7,0
"dgp3",6,30,20272006,15,7,0.0669069577399385
"dgp3",6,30,20272006,16,7,0
"dgp3",6,30,20272006,17,7,0
"dgp3",6,30,20272006,18,7,0
"dgp3",6,30,20272006,19,7,0
"dgp3",6,30,20272006,20,7,0
"dgp3",6,30,20272006,21,7,0
"dgp3",6,30,20272006,22,7,0
"dgp3",6,30,20272006,23,7,0
"dgp3",6,30,20272006,24,7,0.0669069577399385
"dgp3",6,30,20272006,25,7,0
"dgp3",6,30,20272006,26,7,0
"dgp3",6,30,20272006,27,7,0
"dgp3",6,30,20272006,28,7,0
"dgp3",6,30,20272006,29,7,0
"dgp3",6,30,20272006,30,7,0
"dgp3",6,30,20272006,1,8,0.0669069577399385
"dgp3",6,30,20272006,2,8,0.0669069577399385
"dgp3",6,30,20272006,3,8,0.0669069577399385
"dgp3",6,30,20272006,4,8,0.0669069577399385
"dgp3",6,30,20272006,5,8,0.0669069577399385
"dgp3",6,30,20272006,6,8,0.0669069577399385
"dgp3",6,30,20272006,7,8,0.0669069577399385
"dgp3",6,30,20272006,8,8,0.0669069577399385
"dgp3",6,30,20272006,9,8,0
"dgp3",6,30,20272006,10,8,0.0669069577399385
"dgp3",6,30,20272006,11,8,0
"dgp3",6,30,20272006,12,8,0
"dgp3",6,30,20272006,13,8,0.0669069577399385
"dgp3",6,30,20272006,14,8,0
"dgp3",6,30,20272006,15,8,0.0669069577399385
"dgp3",6,30,20272006,16,8,0
"dgp3",6,30,20272006,17,8,0
"dgp3",6,30,20272006,18,8,0
"dgp3",6,30,20272006,19,8,0
"dgp3",6,30,20272006,20,8,0
"dgp3",6,30,20272006,21,8,0.0669069577399385
"dgp3",6,30,20272006,22,8,0
"dgp3",6,30,20272006,23,8,0
"dgp3",6,30,20272006,24,8,0
"dgp3",6,30,20272006,25,8,0
"dgp3",6,30,20272006,26,8,0
"dgp3",6,30,20272006,27,8,0
"dgp3",6,30,20272006,28,8,0
"dgp3",6,30,20272006,29,8,0
"dgp3",6,30,20272006,30,8,0
"dgp3",6,30,20272006,1,9,0.0669069577399385
"dgp3",6,30,20272006,2,9,0.0669069577399385
"dgp3",6,30,20272006,3,9,0.0669069577399385
"dgp3",6,30,20272006,4,9,0.0669069577399385
"dgp3",6,30,20272006,5,9,0.0669069577399385
"dgp3",6,30,20272006,6,9,0.0669069577399385
"dgp3",6,30,20272006,7,9,0.0669069577399385
"dgp3",6,30,20272006,8,9,0.0669069577399385
"dgp3",6,30,20272006,9,9,0.0669069577399385
"dgp3",6,30,20272006,10,9,0.0669069577399385
"dgp3",6,30,20272006,11,9,0.0669069577399385
"dgp3",6,30,20272006,12,9,0
"dgp3",6,30,20272006,13,9,0.0669069577399385
"dgp3",6,30,20272006,14,9,0
"dgp3",6,30,20272006,15,9,0.0669069577399385
"dgp3",6,30,20272006,16,9,0
"dgp3",6,30,20272006,17,9,0
"dgp3",6,30,20272006,18,9,0
"dgp3",6,30,20272006,19,9,0
"dgp3",6,30,20272006,20,9,0
"dgp3",6,30,20272006,21,9,0
"dgp3",6,30,20272006,22,9,0
"dgp3",6,30,20272006,23,9,0
"dgp3",6,30,20272006,24,9,0.0669069577399385
"dgp3",6,30,20272006,25,9,0
"dgp3",6,30,20272006,26,9,0
"dgp3",6,30,20272006,27,9,0.0669069577399385
"dgp3",6,30,20272006,28,9,0
"dgp3",6,30,20272006,29,9,0
"dgp3",6,30,20272006,30,9,0
"dgp3",6,30,20272006,1,10,0
"dgp3",6,30,20272006,2,10,0.0669069577399385
"dgp3",6,30,20272006,3,10,0.0669069577399385
"dgp3",6,30,20272006,4,10,0.0669069577399385
"dgp3",6,30,20272006,5,10,0.0669069577399385
"dgp3",6,30,20272006,6,10,0.0669069577399385
"dgp3",6,30,20272006,7,10,0.0669069577399385
"dgp3",6,30,20272006,8,10,0.0669069577399385
"dgp3",6,30,20272006,9,10,0.0669069577399385
"dgp3",6,30,20272006,10,10,0.0669069577399385
"dgp3",6,30,20272006,11,10,0.0669069577399385
"dgp3",6,30,20272006,12,10,0
"dgp3",6,30,20272006,13,10,0
"dgp3",6,30,20272006,14,10,0
"dgp3",6,30,20272006,15,10,0.0669069577399385
"dgp3",6,30,20272006,16,10,0
"dgp3",6,30,20272006,17,10,0
"dgp3",6,30,20272006,18,10,0.0669069577399385
"dgp3",6,30,20272006,19,10,0.0669069577399385
"dgp3",6,30,20272006,20,10,0
"dgp3",6,30,20272006,21,10,0
"dgp3",6,30,20272006,22,10,0
"dgp3",6,30,20272006,23,10,0
"dgp3",6,30,20272006,24,10,0
"dgp3",6,30,20272006,25,10,0
"dgp3",6,30,20272006,26,10,0
"dgp3",6,30,20272006,27,10,0
"dgp3",6,30,20272006,28,10,0
"dgp3",6,30,20272006,29,10,0
"dgp3",6,30,20272006,30,10,0
"dgp3",6,30,20272006,1,11,0.0669069577399385
"dgp3",6,30,20272006,2,11,0.0669069577399385
"dgp3",6,30,20272006,3,11,0.0669069577399385
"dgp3",6,30,20272006,4,11,0.0669069577399385
"dgp3",6,30,20272006,5,11,0.0669069577399385
"dgp3",6,30,20272006,6,11,0.0669069577399385
"dgp3",6,30,20272006,7,11,0.0669069577399385
"dgp3",6,30,20272006,8,11,0.0669069577399385
"dgp3",6,30,20272006,9,11,0.0669069577399385
"dgp3",6,30,20272006,10,11,0.0669069577399385
"dgp3",6,30,20272006,11,11,0.0669069577399385
"dgp3",6,30,20272006,12,11,0
"dgp3",6,30,20272006,13,11,0.0669069577399385
"dgp3",6,30,20272006,14,11,0
"dgp3",6,30,20272006,15,11,0
"dgp3",6,30,20272006,16,11,0.0669069577399385
"dgp3",6,30,20272006,17,11,0
"dgp3",6,30,20272006,18,11,0
"dgp3",6,30,20272006,19,11,0.0669069577399385
"dgp3",6,30,20272006,20,11,0.0669069577399385
"dgp3",6,30,20272006,21,11,0
"dgp3",6,30,20272006,22,11,0
"dgp3",6,30,20272006,23,11,0
"dgp3",6,30,20272006,24,11,0
"dgp3",6,30,20272006,25,11,0
"dgp3",6,30,20272006,26,11,0
"dgp3",6,30,20272006,27,11,0
"dgp3",6,30,20272006,28,11,0
"dgp3",6,30,20272006,29,11,0
"dgp3",6,30,20272006,30,11,0
"dgp3",6,30,20272006,1,12,0.0669069577399385
"dgp3",6,30,20272006,2,12,0.0669069577399385
"dgp3",6,30,20272006,3,12,0.0669069577399385
"dgp3",6,30,20272006,4,12,0
"dgp3",6,30,20272006,5,12,0.0669069577399385
"dgp3",6,30,20272006,6,12,0.0669069577399385
"dgp3",6,30,20272006,7,12,0.0669069577399385
"dgp3",6,30,20272006,8,12,0
"dgp3",6,30,20272006,9,12,0.0669069577399385
"dgp3",6,30,20272006,10,12,0
"dgp3",6,30,20272006,11,12,0
"dgp3",6,30,20272006,12,12,0.0669069577399385
"dgp3",6,30,20272006,13,12,0.0669069577399385
"dgp3",6,30,20272006,14,12,0.0669069577399385
"dgp3",6,30,20272006,15,12,0.0669069577399385
"dgp3",6,30,20272006,16,12,0
"dgp3",6,30,20272006,17,12,0
"dgp3",6,30,20272006,18,12,0
"dgp3",6,30,20272006,19,12,0
"dgp3",6,30,20272006,20,12,0
"dgp3",6,30,20272006,21,12,0
"dgp3",6,30,20272006,22,12,0
"dgp3",6,30,20272006,23,12,0
"dgp3",6,30,20272006,24,12,0
"dgp3",6,30,20272006,25,12,0
"dgp3",6,30,20272006,26,12,0
"dgp3",6,30,20272006,27,12,0
"dgp3",6,30,20272006,28,12,0
"dgp3",6,30,20272006,29,12,0.0669069577399385
"dgp3",6,30,20272006,30,12,0
"dgp3",6,30,20272006,1,13,0.0669069577399385
"dgp3",6,30,20272006,2,13,0.0669069577399385
"dgp3",6,30,20272006,3,13,0.0669069577399385
"dgp3",6,30,20272006,4,13,0.0669069577399385
"dgp3",6,30,20272006,5,13,0
"dgp3",6,30,20272006,6,13,0.0669069577399385
"dgp3",6,30,20272006,7,13,0
"dgp3",6,30,20272006,8,13,0.0669069577399385
"dgp3",6,30,20272006,9,13,0.0669069577399385
"dgp3",6,30,20272006,10,13,0.0669069577399385
"dgp3",6,30,20272006,11,13,0.0669069577399385
"dgp3",6,30,20272006,12,13,0.0669069577399385
"dgp3",6,30,20272006,13,13,0.0669069577399385
"dgp3",6,30,20272006,14,13,0.0669069577399385
"dgp3",6,30,20272006,15,13,0
"dgp3",6,30,20272006,16,13,0
"dgp3",6,30,20272006,17,13,0
"dgp3",6,30,20272006,18,13,0
"dgp3",6,30,20272006,19,13,0
"dgp3",6,30,20272006,20,13,0
"dgp3",6,30,20272006,21,13,0
"dgp3",6,30,20272006,22,13,0.0669069577399385
"dgp3",6,30,20272006,23,13,0
"dgp3",6,30,20272006,24,13,0
"dgp3",6,30,20272006,25,13,0
"dgp3",6,30,20272006,26,13,0
"dgp3",6,30,20272006,27,13,0
"dgp3",6,30,20272006,28,13,0
"dgp3",6,30,20272006,29,13,0.0669069577399385
"dgp3",6,30,20272006,30,13,0
"dgp3",6,30,20272006,1,14,0.0669069577399385
"dgp3",6,30,20272006,2,14,0.0669069577399385
"dgp3",6,30,20272006,3,14,0
"dgp3",6,30,20272006,4,14,0.0669069577399385
"dgp3",6,30,20272006,5,14,0
"dgp3",6,30,20272006,6,14,0.0669069577399385
"dgp3",6,30,20272006,7,14,0.0669069577399385
"dgp3",6,30,20272006,8,14,0.0669069577399385
"dgp3",6,30,20272006,9,14,0.0669069577399385
"dgp3",6,30,20272006,10,14,0.0669069577399385
"dgp3",6,30,20272006,11,14,0.0669069577399385
"dgp3",6,30,20272006,12,14,0.0669069577399385
"dgp3",6,30,20272006,13,14,0.0669069577399385
"dgp3",6,30,20272006,14,14,0.0669069577399385
"dgp3",6,30,20272006,15,14,0.0669069577399385
"dgp3",6,30,20272006,16,14,0
"dgp3",6,30,20272006,17,14,0
"dgp3",6,30,20272006,18,14,0
"dgp3",6,30,20272006,19,14,0.0669069577399385
"dgp3",6,30,20272006,20,14,0
"dgp3",6,30,20272006,21,14,0
"dgp3",6,30,20272006,22,14,0.0669069577399385
"dgp3",6,30,20272006,23,14,0
"dgp3",6,30,20272006,24,14,0
"dgp3",6,30,20272006,25,14,0
"dgp3",6,30,20272006,26,14,0
"dgp3",6,30,20272006,27,14,0
"dgp3",6,30,20272006,28,14,0
"dgp3",6,30,20272006,29,14,0
"dgp3",6,30,20272006,30,14,0
"dgp3",6,30,20272006,1,15,0.0669069577399385
"dgp3",6,30,20272006,2,15,0.0669069577399385
"dgp3",6,30,20272006,3,15,0.0669069577399385
"dgp3",6,30,20272006,4,15,0
"dgp3",6,30,20272006,5,15,0.0669069577399385
"dgp3",6,30,20272006,6,15,0
"dgp3",6,30,20272006,7,15,0.0669069577399385
"dgp3",6,30,20272006,8,15,0.0669069577399385
"dgp3",6,30,20272006,9,15,0.0669069577399385
"dgp3",6,30,20272006,10,15,0.0669069577399385
"dgp3",6,30,20272006,11,15,0.0669069577399385
"dgp3",6,30,20272006,12,15,0.0669069577399385
"dgp3",6,30,20272006,13,15,0.0669069577399385
"dgp3",6,30,20272006,14,15,0.0669069577399385
"dgp3",6,30,20272006,15,15,0.0669069577399385
"dgp3",6,30,20272006,16,15,0
"dgp3",6,30,20272006,17,15,0
"dgp3",6,30,20272006,18,15,0
"dgp3",6,30,20272006,19,15,0
"dgp3",6,30,20272006,20,15,0
"dgp3",6,30,20272006,21,15,0
"dgp3",6,30,20272006,22,15,0
"dgp3",6,30,20272006,23,15,0
"dgp3",6,30,20272006,24,15,0
"dgp3",6,30,20272006,25,15,0
"dgp3",6,30,20272006,26,15,0
"dgp3",6,30,20272006,27,15,0
"dgp3",6,30,20272006,28,15,0.0669069577399385
"dgp3",6,30,20272006,29,15,0
"dgp3",6,30,20272006,30,15,0
"dgp3",6,30,20272006,1,16,0
"dgp3",6,30,20272006,2,16,0
"dgp3",6,30,20272006,3,16,0
"dgp3",6,30,20272006,4,16,0.0669069577399385
"dgp3",6,30,20272006,5,16,0.0669069577399385
"dgp3",6,30,20272006,6,16,0
"dgp3",6,30,20272006,7,16,0
"dgp3",6,30,20272006,8,16,0
"dgp3",6,30,20272006,9,16,0
"dgp3",6,30,20272006,10,16,0
"dgp3",6,30,20272006,11,16,0
"dgp3",6,30,20272006,12,16,0
"dgp3",6,30,20272006,13,16,0
"dgp3",6,30,20272006,14,16,0
"dgp3",6,30,20272006,15,16,0
"dgp3",6,30,20272006,16,16,0.0669069577399385
"dgp3",6,30,20272006,17,16,0.0669069577399385
"dgp3",6,30,20272006,18,16,0.0669069577399385
"dgp3",6,30,20272006,19,16,0.0669069577399385
"dgp3",6,30,20272006,20,16,0
"dgp3",6,30,20272006,21,16,0
"dgp3",6,30,20272006,22,16,0.0669069577399385
"dgp3",6,30,20272006,23,16,0
"dgp3",6,30,20272006,24,16,0.0669069577399385
"dgp3",6,30,20272006,25,16,0
"dgp3",6,30,20272006,26,16,0
"dgp3",6,30,20272006,27,16,0.0669069577399385
"dgp3",6,30,20272006,28,16,0
"dgp3",6,30,20272006,29,16,0.0669069577399385
"dgp3",6,30,20272006,30,16,0.0669069577399385
"dgp3",6,30,20272006,1,17,0
"dgp3",6,30,20272006,2,17,0
"dgp3",6,30,20272006,3,17,0
"dgp3",6,30,20272006,4,17,0
"dgp3",6,30,20272006,5,17,0
"dgp3",6,30,20272006,6,17,0.0669069577399385
"dgp3",6,30,20272006,7,17,0
"dgp3",6,30,20272006,8,17,0
"dgp3",6,30,20272006,9,17,0
"dgp3",6,30,20272006,10,17,0
"dgp3",6,30,20272006,11,17,0.0669069577399385
"dgp3",6,30,20272006,12,17,0
"dgp3",6,30,20272006,13,17,0
"dgp3",6,30,20272006,14,17,0.0669069577399385
"dgp3",6,30,20272006,15,17,0
"dgp3",6,30,20272006,16,17,0.0669069577399385
"dgp3",6,30,20272006,17,17,0.0669069577399385
"dgp3",6,30,20272006,18,17,0.0669069577399385
"dgp3",6,30,20272006,19,17,0.0669069577399385
"dgp3",6,30,20272006,20,17,0
"dgp3",6,30,20272006,21,17,0.0669069577399385
"dgp3",6,30,20272006,22,17,0.0669069577399385
"dgp3",6,30,20272006,23,17,0.0669069577399385
"dgp3",6,30,20272006,24,17,0.0669069577399385
"dgp3",6,30,20272006,25,17,0.0669069577399385
"dgp3",6,30,20272006,26,17,0
"dgp3",6,30,20272006,27,17,0.0669069577399385
"dgp3",6,30,20272006,28,17,0.0669069577399385
"dgp3",6,30,20272006,29,17,0.0669069577399385
"dgp3",6,30,20272006,30,17,0
"dgp3",6,30,20272006,1,18,0
"dgp3",6,30,20272006,2,18,0
"dgp3",6,30,20272006,3,18,0
"dgp3",6,30,20272006,4,18,0
"dgp3",6,30,20272006,5,18,0
"dgp3",6,30,20272006,6,18,0
"dgp3",6,30,20272006,7,18,0.0669069577399385
"dgp3",6,30,20272006,8,18,0
"dgp3",6,30,20272006,9,18,0
"dgp3",6,30,20272006,10,18,0
"dgp3",6,30,20272006,11,18,0
"dgp3",6,30,20272006,12,18,0
"dgp3",6,30,20272006,13,18,0
"dgp3",6,30,20272006,14,18,0
"dgp3",6,30,20272006,15,18,0
"dgp3",6,30,20272006,16,18,0.0669069577399385
"dgp3",6,30,20272006,17,18,0.0669069577399385
"dgp3",6,30,20272006,18,18,0.0669069577399385
"dgp3",6,30,20272006,19,18,0.0669069577399385
"dgp3",6,30,20272006,20,18,0.0669069577399385
"dgp3",6,30,20272006,21,18,0.0669069577399385
"dgp3",6,30,20272006,22,18,0.0669069577399385
"dgp3",6,30,20272006,23,18,0.0669069577399385
"dgp3",6,30,20272006,24,18,0
"dgp3",6,30,20272006,25,18,0.0669069577399385
"dgp3",6,30,20272006,26,18,0.0669069577399385
"dgp3",6,30,20272006,27,18,0
"dgp3",6,30,20272006,28,18,0.0669069577399385
"dgp3",6,30,20272006,29,18,0
"dgp3",6,30,20272006,30,18,0
"dgp3",6,30,20272006,1,19,0
"dgp3",6,30,20272006,2,19,0
"dgp3",6,30,20272006,3,19,0.0669069577399385
"dgp3",6,30,20272006,4,19,0
"dgp3",6,30,20272006,5,19,0
"dgp3",6,30,20272006,6,19,0
"dgp3",6,30,20272006,7,19,0
"dgp3",6,30,20272006,8,19,0
"dgp3",6,30,20272006,9,19,0
"dgp3",6,30,20272006,10,19,0
"dgp3",6,30,20272006,11,19,0
"dgp3",6,30,20272006,12,19,0
"dgp3",6,30,20272006,13,19,0
"dgp3",6,30,20272006,14,19,0.0669069577399385
"dgp3",6,30,20272006,15,19,0
"dgp3",6,30,20272006,16,19,0.0669069577399385
"dgp3",6,30,20272006,17,19,0
"dgp3",6,30,20272006,18,19,0.0669069577399385
"dgp3",6,30,20272006,19,19,0.0669069577399385
"dgp3",6,30,20272006,20,19,0
"dgp3",6,30,20272006,21,19,0.0669069577399385
"dgp3",6,30,20272006,22,19,0.0669069577399385
"dgp3",6,30,20272006,23,19,0
"dgp3",6,30,20272006,24,19,0.0669069577399385
"dgp3",6,30,20272006,25,19,0.0669069577399385
"dgp3",6,30,20272006,26,19,0.0669069577399385
"dgp3",6,30,20272006,27,19,0
"dgp3",6,30,20272006,28,19,0.0669069577399385
"dgp3",6,30,20272006,29,19,0.0669069577399385
"dgp3",6,30,20272006,30,19,0.0669069577399385
"dgp3",6,30,20272006,1,20,0
"dgp3",6,30,20272006,2,20,0
"dgp3",6,30,20272006,3,20,0
"dgp3",6,30,20272006,4,20,0
"dgp3",6,30,20272006,5,20,0
"dgp3",6,30,20272006,6,20,0
"dgp3",6,30,20272006,7,20,0
"dgp3",6,30,20272006,8,20,0
"dgp3",6,30,20272006,9,20,0
"dgp3",6,30,20272006,10,20,0
"dgp3",6,30,20272006,11,20,0
"dgp3",6,30,20272006,12,20,0
"dgp3",6,30,20272006,13,20,0
"dgp3",6,30,20272006,14,20,0
"dgp3",6,30,20272006,15,20,0
"dgp3",6,30,20272006,16,20,0.0669069577399385
"dgp3",6,30,20272006,17,20,0.0669069577399385
"dgp3",6,30,20272006,18,20,0.0669069577399385
